UI\Settings.lua	Настройки аддона боевой системы	ui.opt.desc
UI\Settings.lua	|cFFFFD700Журнал боя|r	ui.opt.log_header
UI\Settings.lua	Включить журнал боя	ui.opt.log_enable
UI\Settings.lua	Когда включено: все сообщения боя отображаются в журнале.\nКогда выключено: сообщения боя отображаются в чате, журнал недоступен.	ui.opt.log_tooltip
UI\Settings.lua	Включено: все логи боя отображаются в окне журнала (ничего в чат).\nВыключено: журнал недоступен, все логи идут только в чат.	ui.opt.log_desc
UI\Settings.lua	Журнал боя включен	ui.opt.log_on
UI\Settings.lua	Журнал боя выключен, сообщения будут в чате	ui.opt.log_off
UI\Settings.lua	|cFFFFD700Масштаб окна|r	ui.opt.scale_header
UI\Settings.lua	Масштаб интерфейса	ui.opt.scale_slider
UI\Settings.lua	Изменяет размер главного окна ABS. Требуется перезагрузка UI для полного применения.	ui.opt.scale_desc
UI\Settings.lua	|cFFFFD700Компактные фреймы|r	ui.opt.frames_header
UI\Settings.lua	Показывать фрейм игрока	ui.opt.player_frame
UI\Settings.lua	Отображать компактный фрейм с HP, энергией и эффектами игрока.	ui.opt.player_frame_tooltip
UI\Settings.lua	Показывать фрейм цели (NPC)	ui.opt.target_frame
UI\Settings.lua	Отображать компактный фрейм с HP и защитой выбранного NPC.	ui.opt.target_frame_tooltip
UI\Settings.lua	Заблокировать перемещение	ui.opt.lock_frames
UI\Settings.lua	Запретить перемещение фреймов мышью.	ui.opt.lock_frames_tooltip
UI\Settings.lua	Масштаб фреймов	ui.opt.frames_scale
UI\Settings.lua	Сбросить позиции	ui.opt.reset_positions
UI\Settings.lua	Позиции фреймов сброшены	ui.opt.positions_reset
UI\Settings.lua	|cFFFFD700Панель действий|r	ui.opt.actionbar_header
UI\Settings.lua	Показывать панель действий	ui.opt.actionbar_show
UI\Settings.lua	Отображать плавающую панель с кнопками действий (атака, лечение и т.д.)	ui.opt.actionbar_tooltip
UI\Settings.lua	Сбросить настройки	ui.opt.reset_settings
UI\Settings.lua	Сбросить все настройки ABS к значениям по умолчанию?	ui.opt.reset_confirm
UI\Settings.lua	Да	ui.common.yes
UI\Settings.lua	Нет	ui.common.no
UI\Settings.lua	Настройки сброшены к значениям по умолчанию	ui.opt.settings_reset
UI\UnitFrames.lua	|cFF888888Нет данных|r	ui.uf.no_data
UI\UnitFrames.lua	Стойкость	stats.fortitude.label
UI\UnitFrames.lua	Сноровка	stats.reflex.label
UI\UnitFrames.lua	Воля	stats.will.label
UI\UnitFrames.lua	Сто:	ui.uf.fort_short
UI\UnitFrames.lua	Сно:	ui.uf.reflex_short
UI\UnitFrames.lua	Вол:	ui.uf.will_short
UI\UnitFrames.lua	Защита от физических атак (Сила)	ui.uf.fort_desc
UI\UnitFrames.lua	Защита от точных атак (Ловкость)	ui.uf.reflex_desc
UI\UnitFrames.lua	Защита от магических атак (Интеллект)	ui.uf.will_desc
UI\UnitFrames.lua	Критическое ранение	ui.uf.critical_wound
UI\UnitFrames.lua	Ранение	ui.uf.wound
